source,generic_drug_name,dosage_form,30_day_cost,Link
CostPlusDrugs,Abacavir / Lamivudine,Tablet,$38.22 ,https://costplusdrugs.com/medications/abacavirlamivudine-600mg_300mg-tablet/
CostPlusDrugs,Abacavir Sulfate,Tablet,$13.29 ,https://costplusdrugs.com/medications/abacavir-sulfate-300mg-tablet-ziagen/
CostPlusDrugs,Abiraterone Acetate,Tablet,$23.69 ,https://costplusdrugs.com/medications/abiraterone-acetate-500mg-tablet-zytiga/
CostPlusDrugs,Acamprosate Calcium,Tablet Delayed Release,$16.60 ,https://costplusdrugs.com/medications/acamprosate-calcium-333mg-tablet-delayed-release-campral/
CostPlusDrugs,Acarbose,Tablet,$9.48 ,https://costplusdrugs.com/medications/acarbose-50mg-tablet/
CostPlusDrugs,Accu-Chek Guide Me Meter for Diabetic Blood Glucose Testing,Kit,$12.75 ,https://costplusdrugs.com/medications/accu-chek-guide-me-care-kit/
CostPlusDrugs,Accu-Chek Guide Test Strips for Diabetic Blood Glucose,Box of 50 Test Strips,$18.79 ,https://costplusdrugs.com/medications/accu-chek-guide-test-strips-50ct/
CostPlusDrugs,Accu-Chek Softclix Lancets for Diabetic Blood Glucose Testing,Box of 100 Lancets,$16.49 ,https://costplusdrugs.com/medications/accu-chek-softclix-lancets-100ct/
CostPlusDrugs,Acebutolol HCl,Capsule,$21.57 ,https://costplusdrugs.com/medications/acebutolol-hcl-400mg-capsule-sectral/
CostPlusDrugs,Acetazolamide,Tablet,$11.20 ,https://costplusdrugs.com/medications/acetazolamide-250mg-tablet/
CostPlusDrugs,Acetazolamide ER,Extended Release Capsule,$11.56 ,https://costplusdrugs.com/medications/acetazolamide-er-500mg-capsule/
CostPlusDrugs,Acetic Acid,Bottle of Solution,$17.60 ,https://costplusdrugs.com/medications/acetic-acid-2-bottle-of-solution-15-vosol/
CostPlusDrugs,Acitretin,Capsule,$51.14 ,https://costplusdrugs.com/medications/acitretin-25mg-capsule-soriatane/
CostPlusDrugs,Acyclovir,Tablet,$7.32 ,https://costplusdrugs.com/medications/acyclovir-0_05-ointment/
CostPlusDrugs,Adapalene,Tube of Cream,$96.42 ,https://costplusdrugs.com/medications/adapalene-0_30-tube-of-gel-45-differin/
CostPlusDrugs,Adapalene-Benzoyl Peroxide,Gel Pump,$17.33 ,https://costplusdrugs.com/medications/adapalene-benzoyl-peroxide-0_1-2_5-gel-pump-45-epiduo/
CostPlusDrugs,Adapalene-Benzoyl Peroxide,Gel Pump,$25.55 ,https://costplusdrugs.com/medications/adapalene-benzoyl-peroxide-0_3-2_5-gel-pump-45-epiduo-forte/
CostPlusDrugs,Adefovir Dipivoxil,Tablet,$473.97 ,https://costplusdrugs.com/medications/adefovir-dipivoxil-10mg-tablet-hepsera/
CostPlusDrugs,Admelog,Solution,,https://costplusdrugs.com/medications/admelog-100-unit_ml-solution-10-admelog/
CostPlusDrugs,Advair Diskus (Fluticasone / Salmeterol),Aerosol Powder Inhaler,$94.70 ,https://costplusdrugs.com/medications/advair-diskus-500-50mcg-act-60-dose-inhaler/
CostPlusDrugs,Albendazole,Tablet,$99.01 ,https://costplusdrugs.com/medications/albendazole-200mg-tablet/
CostPlusDrugs,Albuterol HFA,Inhaler,$46.38 ,https://costplusdrugs.com/medications/albuterol-90mcg-inhaler18g/
